t,x1_raw,x1,x2,line_pos,has_line,err,mode,v_cap,kp,ki,kd,base_v,left,right,ir0,ir1,ir2,ir3,ir4,ir5,ir6,ir7
0.61,75.05901336669922,76.56501275666979,93.30873131270812,0.034308965064903024,1.0,0.032450199127197266,HF,0.75,0.4,0.0,0.18,0.5,0.11766104016985213,0.8823389598301479,2,0,123,691,846,197,11,1
0.62,88.23389598301479,78.89878940193879,90.41905108910937,0.04166188199981293,1.0,0.029797962733677456,HF,0.75,0.4,0.0,0.18,0.5,0.5358210699898855,0.46417893001011445,15,13,106,646,824,196,9,8
0.63,53.58210699898856,73.83545292134873,88.61507074057036,0.05957303572557594,1.0,0.06051301956176758,HF,0.75,0.4,0.0,0.18,0.5,-0.07707623073032921,1.0,0,0,69,580,850,222,0,0
0.64,100.0,79.06836233707898,91.32843060141974,0.059055919290364634,1.0,0.06145429611206055,HF,0.75,0.4,0.0,0.18,0.5,0.45847530364990235,0.5415246963500977,0,0,78,610,847,227,9,5
0.65,54.15246963500977,74.08518379666513,95.69791218989069,0.04485058907409348,1.0,0.0411266599382673,HF,0.75,0.4,0.0,0.18,0.5,0.8494467871529715,0.1505532128470285,0,0,117,680,886,213,11,0
0.66,84.94467871529714,76.25708278039154,90.85267598623953,0.007982740937090126,1.0,0.015908377511160716,HF,0.75,0.4,0.0,0.18,0.5,0.9475657326834542,0.05243426731654577,0,0,124,735,768,161,0,8
0.67,94.75657326834542,79.95698087798232,94.49217038499526,-0.02598384720409417,1.0,-0.011106831686837333,HF,0.75,0.4,0.0,0.18,0.5,0.9907164982386998,0.009283501761300217,0,4,169,833,711,128,10,10
0.68,99.07164982386998,83.77991466715984,93.44334412808647,-0.010562988294684014,1.0,-0.007355758122035435,HF,0.75,0.4,0.0,0.18,0.5,0.43542297908238004,0.56457702091762,0,9,147,803,747,127,9,3
0.6900000000000001,56.457702091761995,78.31547215208028,91.27806766836184,0.03171548840930573,1.0,0.029425757271902903,HF,0.75,0.4,0.0,0.18,0.5,-0.17383757999965121,1.0,0,7,109,679,824,173,14,0
0.7000000000000001,100.0,82.65237772166422,90.95455395896192,0.026003426079082837,1.0,0.03698982511247907,HF,0.75,0.4,0.0,0.18,0.5,0.3490508488246373,0.6509491511753627,0,0,97,697,797,188,0,13
0.71,65.09491511753626,79.14088520083862,92.42203493440523,-0.00042638706017517113,1.0,-0.0035071372985839844,HF,0.75,0.4,0.0,0.18,0.5,1.0,-0.23034817831856857,0,8,142,775,765,142,1,0
0.72,100.0,83.3127081606709,92.61560353778412,-0.036213775488599484,1.0,-0.038989407675606866,HF,0.75,0.4,0.0,0.18,0.5,1.0,-0.1542766298566547,0,14,194,840,680,104,0,0
0.73,100.0,86.65016652853672,92.39169051019536,-0.025092257609453106,1.0,-0.014661857060023717,HF,0.75,0.4,0.0,0.18,0.5,0.06796883174351281,0.9320311682564872,3,0,184,822,708,120,16,8
0.74,93.20311682564872,87.96075658795911,88.3182515373367,-0.03462005012459256,1.0,-0.03744636263166155,HF,0.75,0.4,0.0,0.18,0.5,0.9250996453421456,0.07490035465785433,0,7,185,794,654,92,0,0
0.75,92.50996453421456,88.87059817721021,90.15353350777819,-0.03954844931554513,1.0,-0.039449759892054966,HF,0.75,0.4,0.0,0.18,0.5,0.5518410546439034,0.44815894535609657,0,16,185,847,657,97,0,5
0.76,55.18410546439034,82.13329963464625,90.84872434752445,-0.013536602148245317,1.0,-0.016235555921282088,HF,0.75,0.4,0.0,0.18,0.5,0.08863855089460104,0.911361449105399,20,5,166,776,721,137,0,14
0.77,91.1361449105399,83.93386868982498,93.41550387091095,-0.030657273981517928,1.0,-0.03557865960257394,HF,0.75,0.4,0.0,0.18,0.5,0.8624073301042829,0.13759266989571706,5,15,191,826,694,106,2,4
0.78,86.2407330104283,84.39524155394564,92.35540200186651,-0.04950842817180012,1.0,-0.05286720820835659,HF,0.75,0.4,0.0,0.18,0.5,0.8323407581874303,0.16765924181256975,3,14,218,872,651,92,1,0
0.79,83.23407581874302,84.1630084069051,92.85923643826517,-0.02199728862913318,1.0,-0.01793513979230608,HF,0.75,0.4,0.0,0.18,0.5,-0.12160317557198663,1.0,2,0,163,825,717,122,3,0
0.8,100.0,87.33040672552409,93.876567611952,-0.03977085877912172,1.0,-0.03474903106689453,HF,0.75,0.4,0.0,0.18,0.5,0.8165496553693499,0.18345034463065008,0,5,198,858,682,95,12,0
